country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,exceedance_range,avg_to_max_ratio,hour,date,is_anomaly
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",2025-02-14 17:00:00,26.8458805,80.9365541,CO,14.0,107.0,84.0,93.0,0.7850467289719626,17,2025-02-14,True
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",2025-02-14 17:00:00,23.616515,87.119133,CO,68.0,102.0,85.0,34.0,0.8333333333333334,17,2025-02-14,True
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",2025-02-14 17:00:00,23.567923,87.306843,CO,92.0,108.0,100.0,16.0,0.9259259259259259,17,2025-02-14,True
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2025-02-14 17:00:00,26.1209,85.3647,OZONE,10.0,301.0,301.0,291.0,1.0,17,2025-02-14,True
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-02-14 17:00:00,25.619651,85.147382,OZONE,9.0,329.0,143.0,320.0,0.43465045592705165,17,2025-02-14,True
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2025-02-14 17:00:00,28.570173,76.933762,OZONE,19.0,180.0,179.0,161.0,0.9944444444444445,17,2025-02-14,True
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2025-02-14 17:00:00,28.636429,77.201067,NO2,135.0,151.0,145.0,16.0,0.9602649006622517,17,2025-02-14,True
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",2025-02-14 17:00:00,28.4275,77.1465,PM2.5,258.0,439.0,333.0,181.0,0.7585421412300684,17,2025-02-14,True
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2025-02-14 17:00:00,28.5504249,77.2159377,SO2,66.0,72.0,70.0,6.0,0.9722222222222222,17,2025-02-14,True
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-02-14 17:00:00,23.016834,72.625775,OZONE,4.0,203.0,203.0,199.0,1.0,17,2025-02-14,True
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-02-14 17:00:00,22.977134,72.553024,SO2,6.0,133.0,80.0,127.0,0.6015037593984962,17,2025-02-14,True
