city,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,cluster
Indore,29.0,3.0,34.4,26.0,86.75,70.6,27.8,2
Hyderabad,34.285714285714285,3.9166666666666665,32.0,27.785714285714285,107.25,79.46153846153847,12.846153846153847,2
Imphal,6.0,2.0,8.0,12.0,52.0,45.0,104.0,2
Jalandhar,36.0,2.0,39.0,33.0,98.0,57.0,16.0,2
Kalaburagi,37.5,2.0,13.0,42.5,81.0,36.0,18.0,2
Karauli,17.0,0.0,22.0,95.0,98.0,71.0,7.0,2
Kanpur,25.666666666666668,2.0,24.666666666666668,30.333333333333332,73.66666666666667,41.333333333333336,30.666666666666668,2
Chittoor,17.0,4.0,16.0,31.0,74.0,82.0,2.0,2
Gorakhpur,8.0,1.0,11.0,18.0,120.0,45.0,34.0,2
Bileipada,61.0,6.0,4.0,26.0,129.0,73.0,38.0,2
Boisar,19.0,10.0,20.0,71.0,94.0,63.0,39.0,2
Bhilai,27.0,5.0,28.333333333333332,19.0,51.333333333333336,32.666666666666664,17.666666666666668,2
Bettiah,68.0,3.0,28.0,24.0,121.0,63.0,15.0,2
Buxar,43.0,4.0,5.0,74.0,92.0,60.0,8.0,2
Baran,36.0,4.0,35.0,82.0,79.0,45.0,14.0,2
Aurangabad,36.75,4.25,29.75,49.0,97.25,66.33333333333333,17.25,2
Baddi,24.0,3.0,15.0,86.0,94.0,79.0,49.0,2
Akola,32.0,6.0,27.0,52.0,79.0,56.0,11.0,2
Amravati,22.0,1.0,18.0,48.5,94.5,51.0,8.5,2
Baghpat,42.0,3.0,29.0,59.0,125.0,39.0,30.0,2
Badlapur,31.0,4.0,40.0,60.0,96.0,70.0,18.0,2
Bengaluru,41.69230769230769,2.25,32.27272727272727,35.9,89.23076923076923,66.63636363636364,12.692307692307692,2
Bharatpur,12.0,5.0,29.0,89.0,78.0,39.0,8.0,2
Chhal,19.0,3.0,30.0,41.0,77.0,49.0,13.0,2
Chikkaballapur,32.0,1.0,19.0,24.0,89.0,80.0,12.0,2
Chandrapur,15.0,1.5,35.5,39.0,110.0,37.0,20.0,2
Charkhi Dadri,14.0,7.0,18.0,15.0,92.0,102.0,5.0,2
Brajrajnagar,58.0,7.0,9.0,63.0,85.0,65.0,17.0,2
Dindigul,10.0,1.0,0.0,4.0,120.0,104.0,21.0,2
Firozabad,10.5,2.0,16.0,15.5,51.5,43.0,29.0,2
Faridabad,43.666666666666664,9.0,26.666666666666668,19.0,105.33333333333333,89.0,8.666666666666666,2
Guwahati,25.5,0.0,2.6666666666666665,17.75,104.66666666666667,122.33333333333333,14.666666666666666,2
Gummidipoondi,0.0,4.0,39.0,0.0,100.0,93.0,33.0,2
Gangtok,23.0,1.0,2.0,35.0,88.0,148.0,0.0,2
Gaya,42.666666666666664,4.0,9.0,33.0,65.5,56.0,11.666666666666666,2
Latur,21.0,6.0,20.0,76.0,66.0,67.0,11.0,2
Kunjemura,33.0,2.0,33.0,8.0,130.0,77.0,5.0,2
Korba,27.0,1.5,41.5,21.0,57.0,48.0,15.0,2
Khurja,34.0,1.0,3.0,6.0,113.0,49.0,46.0,2
